City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Muros,ES,2021-05-27 21:12:07,42.7762,-9.0603,64.9,80,96,7.31
68,Gao,ML,2021-05-27 21:12:07,16.6362,1.637,94.19,6,100,10.63
69,Provideniya,RU,2021-05-27 21:12:08,64.3833,-173.3,42.91,61,0,13.42
70,Ribeira Grande,PT,2021-05-27 21:12:08,38.5167,-28.7,59.83,61,100,10.18
71,Zhigansk,RU,2021-05-27 21:12:08,66.7697,123.3711,46.78,71,10,18.63
72,Nara,JP,2021-05-27 21:11:03,34.6851,135.8049,61.88,96,99,2.73
73,Urumqi,CN,2021-05-27 21:12:09,43.801,87.6005,74.35,23,0,1.36
74,Napier,NZ,2021-05-27 21:12:09,-39.4833,176.9167,43.29,88,86,1.01
75,Georgetown,MY,2021-05-27 21:08:16,5.4112,100.3354,79.9,87,40,3.69
76,Okakarara,NA,2021-05-27 21:12:10,-20.5833,17.4333,56.59,40,0,5.46
77,Carnarvon,AU,2021-05-27 21:10:33,-24.8667,113.6333,64.47,82,75,5.75
78,Olafsvik,IS,2021-05-27 21:07:12,64.8945,-23.7142,46.87,79,0,3.71
79,Soria,ES,2021-05-27 21:12:10,41.6667,-2.6667,62.85,58,100,6.06
80,Kruisfontein,ZA,2021-05-27 21:12:11,-34.0033,24.7314,56.88,85,85,7.2
81,Albany,US,2021-05-27 21:10:29,42.6001,-73.9662,72.81,48,24,12.21
82,Tamara,HN,2021-05-27 21:12:11,14.15,-87.3333,82.15,40,20,10.74
83,San Policarpo,PH,2021-05-27 21:12:12,12.1791,125.5072,81.95,83,33,9.73
84,Hobart,AU,2021-05-27 21:08:42,-42.8794,147.3294,43.92,79,75,3.0
85,Houston,US,2021-05-27 21:09:25,29.7633,-95.3633,91.49,66,75,5.99
86,Williams Lake,CA,2021-05-27 21:10:00,52.1415,-122.1445,57.22,35,99,3.0
87,Bredasdorp,ZA,2021-05-27 21:12:12,-34.5322,20.0403,63.28,70,97,7.25
88,Daru,PG,2021-05-27 21:12:13,-9.0763,143.2092,77.63,82,100,15.19
89,Severomuysk,RU,2021-05-27 21:12:13,56.1481,113.4267,31.05,92,89,2.37
90,El Vigia,VE,2021-05-27 21:12:13,8.6219,-71.6506,81.27,79,98,3.22
